בית הסראייה	,32.05550674556459 34.7565442550104
לשכת גיוס באר שבע	,31.224916631083055 34.79534074972973
מחנה נתן	,31.220691612678472 34.800168725821216
קריית התקשוב באר שבע	,31.26097751244561 34.81765168465695
תחנת הרכבת הטורקית	,31.245742193672676 34.78524515582121
פיקוד דרום	,31.241395647607 34.78718494232847
בא"ח נחל	,31.326732656765905 35.14784248176715
בא"ח טוב	,31.326732656765905 35.14784248176715
בא"ח צנחנים	,31.4380131246332 34.86409575767152
בה"ד 4	,31.969467449201495 34.84518474602911
בה"ד 1 להב	,31.970980685940667 34.84563001047818
בית הספר להגנה אווירית	,30.981303074137603 34.76410798095635
בית הספר להגנת הגבולות	,30.982195190401242 34.764310993253645
בהל"צ	,30.024217717488252 34.92887695582121
טינה)	,32.94470290047084 35.1844443229314
ביסל"ח 17	,31.021104615092042 34.87968206860708
ביסל"ח 450	,30.93885112881157 34.87580226137214
ביסל"ח 906/מחנה משואה	,31.03192863746651 34.97350361904366
ביסל"ח (בקורס)	,31.24505065869314 34.69879594417879
בסיס חצור	,31.782261813140526 34.72988387118995
בסיס חצרים	,31.238269778757584 34.663088702266016
מחנה עמנואל (ג'וליס)	,31.690998101132696 34.675895913492724
שדה תימן	,31.286845303109846 34.72435282012473
שיזפון	,30.004698634057487 35.03173740898167
חיון	,31.73965365336182 34.78454503325155
בה"ד 20	,31.955074019309947 34.842846152120586
בה"ד החינוך והנוער	,32.04669863789524 34.85825455767152
בה"ד 6	,31.957239327599414 34.83872784787942
בה"ד 7	,31.969549363540168 34.84509891534304
בה"ד 10	,31.95909559332424 34.82823318553011
בה"ד 11	,31.95941046476484 34.83376801021284
מצפה ישי	,32.20846020705396 35.15872283068606
אלון מורה	,32.23356723987134 35.333937687879384
הר ברכה	,32.1931101135363 35.26555836787943
בסיס תפוח	,32.1180292315982 35.258134012783664
אדוריים	,31.51177809902085 34.870568047786755
אוגדת איוש	,31.92432120269923 35.222607026985436
בקעות	,32.2430495871822 35.45366596823285
שילה	,32.05468502682759 35.298337301975046
מול נבו	,31.82363506643632 35.50260505397089
פלס	,32.363723290208426 35.5551911016248
נבי מוסא	,31.798263507542057 35.427604059521826
ענתות	,31.818680907809362 35.276457169313936
שדמה	,31.833601687873468 34.74025481985447
חטמ"ר אפריים	,32.210522614528415 35.15529580420519
חטמ"ר מנשה	,32.43775979563961 35.00983855767152
חטמ"ר שומרון	,32.193291700455234 35.26542962185032
מג"ב מכמש	,32.2173964281571 34.962583420706586
מג"ב בית חורון	,31.9542174149011 34.98853435189177
ימ"ס שומרון	,32.17882498344582 35.09908427555105
בט"ר דותן	,31.958737199497637 34.85814191226598
כלא שש	,32.71395400816243 34.96982678650728
עתלית	,32.71379216710968 34.949126420582125
בה"ד חיל הים	,32.834581473801904 34.98159287301455
בית חולים 10	,32.81572234266421 34.962036703700626
בסיס חיפה	,32.832820160028035 34.98195354386696
לשכת גיוס חיפה	,32.81460203027247 34.99930040370062
נמל התעופה חיפה	,32.811884387590574 35.04041318650726
פנמ"צ חיפה	,32.78146353511543 34.99352854417879
מחו"ה אלון	,32.90032739728798 35.417473688780305
בירנית	,33.06021733598494 35.35015805760918
בא"פ אליקים	,32.63008780827324 35.05952005582121
חוות השומר	,32.762749422232176 35.40339066137215
מוצב ליבנה	,33.1037486916186 35.31654991534304
מחנה פילון	,32.954920466617345 35.54631589787942
מסעף רמת דוד	,32.68146262051221 35.204309546778916
מחנה ביל"ו	,31.88036449075637 34.828490330686066
בית גולדמינץ	,32.29855305064464 34.845595336735975
מחנה בית ליד	,32.32785950771663 34.92634710239084
מטווח 24	,32.80799136114062 35.081872578980835
פלמחים	,31.933779511035194 34.70572548892291
נחשונים	,32.05946978234865 34.94362169192194
סירקין	,32.07691645064049 34.92372877220375
צריפין	,31.95823777555439 34.83979352382536
מחנה רחבעם (פיקוד העורף)	,31.9193667263359 34.877642322744286
שורה	,31.890858251928947 34.84731868650727
תל נוף	,31.84084550015633 34.78530290565397
מתקן אדם	,31.95311865069486 34.966283393097704
תל השומר	,32.05033279559917 34.84820230648648
גלילות	,32.143481179700785 34.816779693139296
קריה	,32.074949956461204 34.78431474656964
גבעתיים	,32.075461975723655 34.8088323812266
מישור אדומים	,31.78855675306728 35.33395401954268
פיקוד מרכז	,31.84300303646897 35.237214682328506
מג"ב ירושלים	,31.94103353626779 34.98046218650727
